title,episode
17화 뱀파이어 성에서 성난 뱀파이어 성님(2),https://comic.naver.com/webtoon/detail?titleId=812851&no=17&week=sat
16화 뱀파이어 성에서 성난 뱀파이어 성님(1),https://comic.naver.com/webtoon/detail?titleId=812851&no=16&week=sat
15화 뱀파이어 형님이 화났어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=15&week=sat
14화 성에서 망치를 휘둘러봐요!,https://comic.naver.com/webtoon/detail?titleId=812851&no=14&week=sat
13화 서큐버스가 화났어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=13&week=sat
12화 서큐버스와 싸웠어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=12&week=sat
11화 세나가 필살기를 보여줬어요!,https://comic.naver.com/webtoon/detail?titleId=812851&no=11&week=sat
10화 늑대 인간이랑 싸웠어요!,https://comic.naver.com/webtoon/detail?titleId=812851&no=10&week=sat
9화 늑대 인간에게 맞았어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=9&week=sat
8화 이곳은 무서워요,https://comic.naver.com/webtoon/detail?titleId=812851&no=8&week=sat
7화 엘프들에게 찍혔어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=7&week=sat
6화 담임선생님한테 찍혔어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=6&week=sat
5화 무투의 악마 부에르에게 맞았어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=5&week=sat
4화 무투의 악마 부에르가 찾아왔어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=4&week=sat
3화 악마에게도 찍혔어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=3&week=sat
2화 입학과 동시에 일진에게 찍혔어요,https://comic.naver.com/webtoon/detail?titleId=812851&no=2&week=sat
1화 마법사가 될 거예요!,https://comic.naver.com/webtoon/detail?titleId=812851&no=1&week=sat
